date,article_sentiment,reader_sentiment,article_emotion_intensity,reader_emotion_intensity,open,high,low,close,volume,adjusted,r,volatility,intra_day_chg,downside_risk,var1pct,lnvol_chg,amihud_ratio,amihud_zscore,illiq,hl_spread,zero_return_flag,typical_price,vwap_proxy,vwap_cum,rolls_measure,dollar_volume,kyle_lambda_proxy,amihud_impact_proxy,turnover_ratio,shares_outstanding,rolls_measure_rolling,rolls_measure_strict,rolls_measure_window,rolls_measure_min_periods,volume_zero_flag,adjusted_close,daily_return
2024-08-20,0.0,0.0,0.883,0.23673333333333332,215.0,216.0,213.6799927,214.5200043,5640000.0,212.1179199,-0.004325817,0.2208660689619287,0.010802791,0.158362828380129,0.042928809,-0.216840038,7.65e-10,-0.210564054,6.204697,0.0107987681037771,0,214.7333323333333,214.7333323333333,130.86982049431515,1.2646135947446695,1209892824.252,7.669888297872341e-10,3.5753720604751733e-12,0.0020735294117647,2720000000.0,,1.2646135947446695,252,126,0,212.1179199,-0.004316474516043223
2024-08-22,0.0,0.0,0.26685,0.19055000000000002,214.5800018,216.8000031,214.3399963,216.6300049,5247100.0,214.2042847,0.004447107,0.1111451666742564,0.017742537,0.0535357914088256,0.011326674,0.259607595,1.8e-09,1.334726697,6.014653,0.0114116379989028,0,215.92333476666667,215.92333476666667,130.91689980336116,1.2646135947446695,1136679298.71079,1.7943189571382287e-09,8.282873639625849e-12,0.0019290808823529,2720000000.0,,1.2646135947446695,252,126,0,214.2042847,0.00945943155003226
2024-08-26,-1.0,-1.0,0.25545,0.21827999999999997,219.0099945,219.6799927,218.0500031,219.1699982,5105200.0,216.7158356,0.003931624,0.217490906865738,0.007439818,0.1572256275499976,0.042928809,-0.132045283,7.72e-10,-0.201172977,5.819388,0.0074474658608717,0,218.96666466666667,218.96666466666667,130.97455121544976,1.2646135947446695,1118906674.81064,7.70121444801379e-10,3.5138086924589797e-12,0.0018769117647058,2720000000.0,,1.2646135947446695,252,126,0,216.7158356,0.003939362448258876
2024-08-29,0.0,0.0,0.33268333333333333,0.30338333333333334,222.1499939,222.9799957,218.9400024,222.2100067,6416100.0,219.721817,0.021579854,0.1183448132623473,0.02280778,0.0564538465047905,0.011326674,0.141475902,6.48e-10,-0.385358234,5.447353,0.0182838220373353,0,221.37666826666668,221.37666826666668,131.06146604439022,1.2646135947446695,1425721623.98787,6.466378329514812e-10,2.9100302122059268e-12,0.0023588602941176,2720000000.0,,1.2646135947446695,252,126,0,219.721817,0.004157510879335247
2024-09-03,-1.0,-1.0,0.30556000000000005,0.33795,222.3000031,224.1000061,219.2400055,220.3000031,8956100.0,217.8331909,-0.020220883,0.2173649571179146,0.021961141,0.1588436784158647,0.042928809,0.29464754,2.24e-09,1.978652108,5.813773,0.0219244844716831,0,221.21333823333336,221.21333823333336,131.14715286228082,1.2646135947446695,1973028857.76391,2.257777715746809e-09,1.0248650403885579e-11,0.0032926838235294,2720000000.0,,1.2646135947446695,252,126,0,217.8331909,-0.02001781231784916
2024-09-05,1.0,1.0,0.32499999999999996,0.4195333333333333,220.1499939,220.8000031,216.0299988,217.6300049,8067900.0,215.1931,-0.007781024,0.2167130593125981,0.021791787,0.1598600070008438,0.042928809,0.029426373,9.61e-10,0.080434689,5.5785,0.0218391789906956,0,218.1533356,218.1533356,131.21944481266948,1.2646135947446695,1755817116.5327098,9.644422960125932e-10,4.431568599448179e-12,0.0029661397058823,2720000000.0,,1.2646135947446695,252,126,0,215.1931,-0.007750830350596094
2024-09-06,-1.0,-1.0,0.4421,0.36660000000000004,217.6000061,218.7400055,211.0899963,212.4600067,7777000.0,210.0809784,-0.024042697,0.2153475938934865,0.035576473,0.1581118113741894,0.042928809,-0.058666712,3.05e-09,3.199354172,6.123156,0.0355955106342695,0,214.0966695,214.0966695,131.2538150122676,1.2646135947446695,1652301472.1059,3.09151305130513e-09,1.4551035271642634e-11,0.0028591911764705,2720000000.0,,1.2646135947446695,252,126,0,210.0809784,-0.023755973588372448
2024-09-10,-0.45454545454545453,-0.6363636363636364,0.5123563636363637,0.33223772727272727,218.6000061,218.6399994,200.6100006,205.5599976,28406900.0,203.2582397,0.000490852,0.1208659371672028,0.007089038,0.0573433851405219,0.011326674,-0.29044626,1.83e-09,1.370224145,6.568893,0.0860107277280858,0,208.2699992,208.2699992,131.4107274995714,1.2646135947446695,5839322295.823441,1.875720722782141e-09,9.124930651303631e-12,0.0104437132352941,2720000000.0,,1.2646135947446695,252,126,0,203.2582397,-0.051888730597186905
2024-09-11,0.8,0.8,0.47084666666666664,0.3636466666666666,205.25,207.6999969,201.8300018,207.2299957,13658700.0,204.9095306,0.00809128,0.2431808642549485,0.028461963,0.1897895247620597,0.05291542,0.026858917,5.95e-10,-0.464581077,6.359528,0.028666984683093,0,205.5866648,205.5866648,131.46460750675834,1.2646135947446695,2830492342.26759,5.923901981887002e-10,2.858612220627963e-12,0.0050215808823529,2720000000.0,,1.2646135947446695,252,126,0,204.9095306,0.00812410312338252
2024-09-12,0.0,-0.25,0.37826624999999997,0.31464000000000003,207.6499939,208.7799988,204.8899994,206.6000061,9055800.0,204.2866058,-0.003044629,0.2431122876936972,0.018780926,0.1898920659889417,0.05291542,-0.484062734,3.36e-10,-0.850504491,6.086874,0.0188072590080331,0,206.7566681,206.7566681,131.50085033973394,1.2646135947446695,1870928335.24038,3.3620762384328277e-10,1.6273359821710225e-12,0.0033293382352941,2720000000.0,,1.2646135947446695,252,126,0,204.2866058,-0.003039999155607931
