symbol,date,open,high,low,close,volume,adjusted,channel_classification,v2tone1,amihud_ratio,amihud_zscore,illiq,r,volatility,intra_day_chg,downside_risk,var1pct,lnvol_chg
GS,3/1/2021,325.0,331.0400085,323.3099976,329.9200134,2957800,300.1221924,Casual Investors,-0.250394799,1.24e-08,2.091303328,17.72605,0.036075621,,0.02360597,,0.03025744,-0.227468488
GS,3/2/2021,330.0,336.1900024,329.5100098,330.9400024,2850300,301.0501709,Casual Investors,-0.747357862,1.08e-09,-1.050794588,16.93287,0.003087232,,0.020213613,,0.03025744,-0.265519542
GS,3/3/2021,333.6799927,340.1000061,333.25,334.4299927,3606300,304.2248535,Casual Investors,-0.446517798,2.92e-09,-0.54090495,16.52615,0.010490146,,0.020505624,,0.03025744,0.045446414
GS,3/4/2021,333.1300049,339.7600098,323.9200134,329.2900085,3647600,299.5491333,Casual Investors,0.541243562,4.21e-09,-0.183472114,16.40342,-0.015488623,,0.047824631,,0.03025744,0.104200608
GS,3/5/2021,335.5799866,335.5799866,316.4599915,327.3699951,3740200,297.8024597,Casual Investors,-0.187207798,1.56e-09,-0.919337738,15.78229,-0.005848075,,0.057681562,,0.03025744,0.135726196
GS,3/8/2021,331.3599854,337.5899963,329.1000061,334.1900024,2998000,304.0065613,Casual Investors,-0.420335806,6.95e-09,0.574816186,16.18096,0.020618904,,0.025512705,,0.03025744,-0.143641058
GS,3/9/2021,328.6199951,336.3900146,325.5700073,330.5899963,3324800,300.7316895,Casual Investors,-0.028445439,3.24e-09,-0.453345815,15.89965,-0.010830814,,0.032827195,,0.03025744,-0.050789002
GS,3/10/2021,332.0700073,342.3999939,331.5299988,342.019989,3153100,311.129364,Casual Investors,0.157377942,1.1e-08,1.688187861,16.97144,0.033990317,,0.032250872,,0.03025744,-0.083488799
GS,3/11/2021,338.6600037,345.0,336.4599915,342.1000061,2756600,311.2020874,Casual Investors,-0.775185409,8.48e-11,-1.328008021,16.03502,0.000233713,,0.02508963,,0.03025744,-0.181143386
GS,3/12/2021,345.2200012,350.0,343.6400146,348.8099976,2436700,317.3061523,Casual Investors,-0.451803252,8.05e-09,0.879931627,16.55986,0.019424588,,0.018327696,,0.03025744,-0.227157318
GS,3/15/2021,349.4400024,352.4200134,342.0,346.0499878,2276200,314.7953491,Casual Investors,0.138659404,3.48e-09,-0.387827898,16.25944,-0.007944346,,0.029964525,,0.03025744,-0.248322522
GS,3/16/2021,345.2799988,346.8999939,337.75,341.7099915,2332600,310.8473816,Casual Investors,-0.476473708,5.38e-09,0.138933765,16.33388,-0.012620685,,0.026637925,,0.03025744,-0.129705921
GS,3/17/2021,344.6199951,347.0299988,340.3999939,344.9500122,2710900,313.7948303,Casual Investors,-0.112992134,3.5e-09,-0.381903349,16.04738,0.009437308,,0.019229389,,0.03025744,0.100978396
